customer_id,signup_date,age,gender,annual_income,education,marital_status,dependents,tenure,contract,payment_method,paperless_billing,senior_citizen,monthlycharges,totalcharges,num_services,has_phone_service,has_internet_service,has_online_security,has_online_backup,has_device_protection,has_tech_support,has_streaming_tv,has_streaming_movies,customer_satisfaction,num_complaints,num_service_calls,late_payments,avg_monthly_gb,days_since_last_interaction,credit_score,churn
CUST0000987232,,62,Other,29947.01,high_school,married,0,28,two_year,mailed_check,1,0,78.37,2125.51,1,1,1,0,0,0,1,1,0,1.0,0.0,2,0,11.06,8,516.0,0
CUST0000079955,,18,Male,35620.98,master,married,0,10,two_year,electronic_check,1,0,78.59,854.72,2,0,1,1,1,1,0,1,0,5.0,1.0,1,0,27.77,26,776.0,0
CUST0000567131,,49,Male,53521.03,master,single,0,72,one_year,credit_card,1,0,114.42,8652.18,6,1,1,0,0,0,1,1,0,6.0,2.0,1,0,21.46,56,742.0,0
CUST0000500892,,53,Female,68060.28,high_school,single,2,15,two_year,mailed_check,1,0,66.42,908.06,2,1,1,1,0,0,1,1,1,7.0,0.0,2,0,52.14,12,762.0,0
CUST0000055400,,20,Female,48954.6,college,married,2,34,two_year,mailed_check,1,0,87.52,2885.94,2,1,1,0,1,1,1,0,1,3.0,1.0,0,1,19.02,47,759.0,0
CUST0000135050,,53,Male,65387.83,college,single,1,45,month_to_month,electronic_check,1,0,55.54,2372.45,1,1,0,0,0,0,0,1,0,7.0,1.0,3,1,0.0,16,612.0,1
CUST0000733379,,18,Female,27747.77,high_school,divorced,2,14,one_year,bank_transfer,1,0,94.3,1331.4,2,1,1,1,1,0,1,0,1,3.0,2.0,3,0,17.92,38,535.0,0
CUST0000732058,,28,Female,23593.08,high_school,single,2,2,two_year,bank_transfer,1,0,69.71,149.02,5,1,1,0,1,0,0,0,0,7.0,1.0,0,3,29.24,5,722.0,0
CUST0000051334,,35,Female,123265.15,bachelor,married,0,1,one_year,electronic_check,1,0,117.42,77.31,6,1,1,0,1,1,0,0,1,7.0,0.0,1,1,13.92,17,612.0,0
CUST0000731480,,51,Male,23567.61,high_school,single,0,50,one_year,mailed_check,1,0,96.11,5229.19,1,1,1,0,1,0,1,1,1,6.0,1.0,0,0,26.71,15,573.0,0
CUST0000399759,,44,Female,52881.03,college,married,0,9,two_year,credit_card,1,0,96.45,811.37,1,1,1,0,1,0,1,1,0,3.0,1.0,1,0,30.41,21,617.0,1
CUST0000401398,,34,Male,25295.83,phd,married,1,72,one_year,mailed_check,1,1,77.5,5646.65,3,1,1,0,0,1,0,0,0,7.0,0.0,0,0,27.77,46,693.0,0
CUST0000855486,,67,Male,48954.6,bachelor,single,0,40,two_year,electronic_check,0,0,118.6,4488.3,5,1,1,0,0,0,1,1,0,6.0,1.0,10,0,44.25,54,722.0,0
